tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 11.018694
step:103/4768 | loss 0.201605 | train_time:930.69s | step_avg:8948.93ms
step:104/4768 | loss 0.201932 | train_time:939.63s | step_avg:8948.84ms
step:105/4768 | loss 0.203459 | train_time:948.56s | step_avg:8948.72ms
step:106/4768 | loss 0.201611 | train_time:957.50s | step_avg:8948.60ms
step:107/4768 | loss 0.199677 | train_time:966.44s | step_avg:8948.47ms
step:108/4768 | loss 0.200544 | train_time:975.38s | step_avg:8948.40ms
step:109/4768 | loss 0.201382 | train_time:984.32s | step_avg:8948.34ms
step:110/4768 | loss 0.198835 | train_time:993.27s | step_avg:8948.38ms
step:111/4768 | loss 0.199560 | train_time:1002.21s | step_avg:8948.31ms
step:112/4768 | loss 0.200063 | train_time:1011.15s | step_avg:8948.23ms
step:113/4768 | loss 0.197968 | train_time:1020.09s | step_avg:8948.20ms
step:114/4768 | loss 0.200196 | train_time:1029.03s | step_avg:8948.12ms
step:115/4768 | loss 0.197825 | train_time:1037.97s | step_avg:8948.06ms
step:116/4768 | loss 0.197411 | train_time:1046.92s | step_avg:8948.03ms
step:117/4768 | loss 0.195529 | train_time:1055.87s | step_avg:8948.01ms
step:118/4768 | loss 0.196754 | train_time:1064.81s | step_avg:8947.95ms
step:119/4768 | loss 0.195121 | train_time:1073.74s | step_avg:8947.87ms
step:120/4768 | loss 0.195238 | train_time:1082.69s | step_avg:8947.85ms
step:121/4768 | loss 0.192740 | train_time:1091.63s | step_avg:8947.77ms
step:122/4768 | loss 0.195603 | train_time:1100.57s | step_avg:8947.70ms
step:123/4768 | loss 0.193443 | train_time:1109.51s | step_avg:8947.62ms
step:124/4768 | loss 0.193024 | train_time:1118.44s | step_avg:8947.56ms
step:125/4768 | loss 0.193301 | train_time:1127.38s | step_avg:8947.47ms
step:126/4768 | loss 0.196287 | train_time:1136.32s | step_avg:8947.39ms
step:127/4768 | loss 0.192880 | train_time:1145.27s | step_avg:8947.41ms
step:128/4768 | val loss 6.284186
step:128/4768 | [-0.001, -0.003, -0.003, -0.003, -0.002, -0.002, -0.002, -0.001, -0.001, -0.001, -0.001, -0.0]
step:128/4768 | loss 0.196293 | train_time:1154.22s | step_avg:8947.44ms
step:129/4768 | loss 0.196743 | train_time:1163.16s | step_avg:8947.39ms
step:130/4768 | loss 0.194907 | train_time:1172.10s | step_avg:8947.33ms
step:131/4768 | loss 0.193900 | train_time:1181.04s | step_avg:8947.29ms
step:132/4768 | loss 0.190671 | train_time:1189.99s | step_avg:8947.27ms
step:133/4768 | loss 0.192678 | train_time:1198.93s | step_avg:8947.20ms
step:134/4768 | loss 0.192115 | train_time:1207.87s | step_avg:8947.16ms
step:135/4768 | loss 0.188483 | train_time:1216.82s | step_avg:8947.19ms
step:136/4768 | loss 0.190007 | train_time:1225.76s | step_avg:8947.12ms
step:137/4768 | loss 0.189879 | train_time:1234.70s | step_avg:8947.12ms
step:138/4768 | loss 0.188047 | train_time:1243.64s | step_avg:8947.03ms
step:139/4768 | loss 0.190041 | train_time:1252.61s | step_avg:8947.18ms
step:140/4768 | loss 0.186921 | train_time:1261.58s | step_avg:8947.37ms
step:141/4768 | loss 0.190285 | train_time:1270.61s | step_avg:8947.96ms
step:142/4768 | loss 0.188638 | train_time:1279.62s | step_avg:8948.40ms
