tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:340/4768 | loss 0.152002 | train_time:2012.00s | step_avg:5900.30ms
step:341/4768 | loss 0.151731 | train_time:2017.90s | step_avg:5900.29ms
step:342/4768 | loss 0.153631 | train_time:2023.80s | step_avg:5900.28ms
step:343/4768 | loss 0.153531 | train_time:2029.69s | step_avg:5900.27ms
step:344/4768 | loss 0.151135 | train_time:2035.59s | step_avg:5900.25ms
step:345/4768 | loss 0.150125 | train_time:2041.49s | step_avg:5900.25ms
step:346/4768 | loss 0.151923 | train_time:2047.39s | step_avg:5900.25ms
step:347/4768 | loss 0.150672 | train_time:2053.28s | step_avg:5900.24ms
step:348/4768 | loss 0.151460 | train_time:2059.18s | step_avg:5900.22ms
step:349/4768 | loss 0.148024 | train_time:2065.07s | step_avg:5900.21ms
step:350/4768 | loss 0.149371 | train_time:2070.97s | step_avg:5900.21ms
step:351/4768 | loss 0.151296 | train_time:2076.87s | step_avg:5900.20ms
step:352/4768 | loss 0.149309 | train_time:2082.77s | step_avg:5900.20ms
step:353/4768 | loss 0.151210 | train_time:2088.67s | step_avg:5900.19ms
step:354/4768 | loss 0.148917 | train_time:2094.56s | step_avg:5900.17ms
step:355/4768 | loss 0.150472 | train_time:2100.46s | step_avg:5900.16ms
