tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
run_id: ebe9dcc0-c35a-4cea-9a56-00ba8c90e3ea
step:0/4768 | val loss 10.937327
step:133/4768 | loss 0.192019 | train_time:967.43s | step_avg:7219.64ms
step:134/4768 | loss 0.192035 | train_time:974.66s | step_avg:7219.67ms
step:135/4768 | loss 0.190031 | train_time:981.86s | step_avg:7219.56ms
step:136/4768 | loss 0.192105 | train_time:989.08s | step_avg:7219.55ms
step:137/4768 | loss 0.191193 | train_time:996.28s | step_avg:7219.45ms
step:138/4768 | loss 0.189232 | train_time:1003.50s | step_avg:7219.45ms
step:139/4768 | loss 0.191267 | train_time:1010.71s | step_avg:7219.33ms
step:140/4768 | loss 0.188021 | train_time:1017.93s | step_avg:7219.33ms
step:141/4768 | loss 0.191293 | train_time:1025.15s | step_avg:7219.38ms
step:142/4768 | loss 0.189599 | train_time:1032.36s | step_avg:7219.31ms
step:143/4768 | loss 0.189564 | train_time:1039.58s | step_avg:7219.30ms
step:144/4768 | loss 0.188445 | train_time:1046.78s | step_avg:7219.18ms
step:145/4768 | loss 0.186278 | train_time:1053.99s | step_avg:7219.09ms
step:146/4768 | loss 0.187925 | train_time:1061.21s | step_avg:7219.10ms
step:147/4768 | loss 0.190049 | train_time:1068.43s | step_avg:7219.15ms
step:148/4768 | loss 0.189688 | train_time:1075.65s | step_avg:7219.12ms
step:149/4768 | loss 0.189419 | train_time:1082.86s | step_avg:7219.10ms
step:150/4768 | loss 0.189168 | train_time:1090.08s | step_avg:7219.06ms
step:151/4768 | loss 0.186109 | train_time:1097.29s | step_avg:7218.99ms
step:152/4768 | loss 0.187040 | train_time:1104.50s | step_avg:7218.97ms
step:153/4768 | loss 0.186255 | train_time:1111.72s | step_avg:7218.94ms
step:154/4768 | loss 0.187829 | train_time:1118.94s | step_avg:7218.95ms
step:155/4768 | loss 0.187191 | train_time:1126.15s | step_avg:7218.93ms
step:156/4768 | loss 0.188053 | train_time:1133.35s | step_avg:7218.81ms
step:157/4768 | loss 0.184864 | train_time:1140.56s | step_avg:7218.73ms
step:158/4768 | loss 0.184433 | train_time:1147.78s | step_avg:7218.73ms
step:159/4768 | loss 0.185100 | train_time:1154.98s | step_avg:7218.63ms
step:160/4768 | loss 0.185096 | train_time:1162.19s | step_avg:7218.55ms
step:161/4768 | loss 0.184646 | train_time:1169.41s | step_avg:7218.56ms
step:162/4768 | loss 0.183034 | train_time:1176.63s | step_avg:7218.57ms
step:163/4768 | loss 0.183907 | train_time:1183.84s | step_avg:7218.52ms
step:164/4768 | loss 0.182877 | train_time:1191.05s | step_avg:7218.49ms
step:165/4768 | loss 0.183859 | train_time:1198.26s | step_avg:7218.44ms
step:166/4768 | loss 0.181929 | train_time:1205.48s | step_avg:7218.43ms
step:167/4768 | loss 0.182274 | train_time:1212.68s | step_avg:7218.34ms
step:168/4768 | loss 0.180863 | train_time:1219.89s | step_avg:7218.28ms
step:169/4768 | loss 0.179649 | train_time:1227.10s | step_avg:7218.26ms
step:170/4768 | loss 0.178602 | train_time:1234.31s | step_avg:7218.21ms
step:171/4768 | loss 0.182819 | train_time:1241.53s | step_avg:7218.20ms
step:172/4768 | loss 0.183389 | train_time:1248.75s | step_avg:7218.21ms
step:173/4768 | loss 0.185379 | train_time:1255.96s | step_avg:7218.17ms
step:174/4768 | loss 0.183839 | train_time:1263.18s | step_avg:7218.16ms
step:175/4768 | loss 0.181663 | train_time:1270.38s | step_avg:7218.09ms
step:176/4768 | loss 0.180536 | train_time:1277.59s | step_avg:7218.02ms
step:177/4768 | loss 0.181182 | train_time:1284.80s | step_avg:7217.99ms
step:178/4768 | loss 0.181878 | train_time:1292.01s | step_avg:7217.92ms
step:179/4768 | loss 0.179910 | train_time:1299.23s | step_avg:7217.94ms
step:180/4768 | loss 0.178655 | train_time:1306.45s | step_avg:7217.96ms
step:181/4768 | loss 0.179523 | train_time:1313.65s | step_avg:7217.88ms
step:182/4768 | loss 0.177706 | train_time:1320.87s | step_avg:7217.84ms
step:183/4768 | loss 0.180119 | train_time:1328.09s | step_avg:7217.86ms
step:184/4768 | loss 0.178626 | train_time:1335.30s | step_avg:7217.84ms
step:185/4768 | loss 0.176409 | train_time:1342.51s | step_avg:7217.82ms
step:186/4768 | loss 0.181316 | train_time:1349.74s | step_avg:7217.85ms
step:187/4768 | loss 0.181952 | train_time:1356.95s | step_avg:7217.84ms
step:188/4768 | loss 0.174056 | train_time:1364.16s | step_avg:7217.80ms
step:189/4768 | loss 0.178951 | train_time:1371.38s | step_avg:7217.79ms
step:190/4768 | loss 0.178567 | train_time:1378.88s | step_avg:7219.29ms
step:191/4768 | loss 0.176099 | train_time:1386.12s | step_avg:7219.35ms
step:192/4768 | loss 0.174485 | train_time:1393.34s | step_avg:7219.37ms
step:193/4768 | loss 0.178771 | train_time:1400.56s | step_avg:7219.40ms
step:194/4768 | loss 0.184196 | train_time:1407.78s | step_avg:7219.41ms
step:195/4768 | loss 0.181199 | train_time:1414.99s | step_avg:7219.34ms
step:196/4768 | loss 0.180797 | train_time:1422.20s | step_avg:7219.30ms
step:197/4768 | loss 0.178330 | train_time:1429.41s | step_avg:7219.24ms
step:198/4768 | loss 0.177870 | train_time:1436.63s | step_avg:7219.23ms
step:199/4768 | loss 0.179727 | train_time:1443.83s | step_avg:7219.17ms
step:200/4768 | loss 0.181261 | train_time:1451.05s | step_avg:7219.18ms
step:201/4768 | loss 0.178513 | train_time:1458.26s | step_avg:7219.12ms
step:202/4768 | loss 0.178044 | train_time:1465.48s | step_avg:7219.10ms
step:203/4768 | loss 0.177508 | train_time:1472.69s | step_avg:7219.07ms
step:204/4768 | loss 0.177632 | train_time:1479.92s | step_avg:7219.11ms
step:205/4768 | loss 0.173387 | train_time:1487.14s | step_avg:7219.11ms
step:206/4768 | loss 0.176067 | train_time:1494.35s | step_avg:7219.10ms
step:207/4768 | loss 0.176225 | train_time:1501.56s | step_avg:7219.05ms
step:208/4768 | loss 0.173742 | train_time:1508.78s | step_avg:7219.02ms
step:209/4768 | loss 0.173135 | train_time:1515.98s | step_avg:7218.97ms
step:210/4768 | loss 0.173649 | train_time:1523.20s | step_avg:7218.98ms
step:211/4768 | loss 0.175051 | train_time:1530.42s | step_avg:7218.95ms
step:212/4768 | loss 0.174097 | train_time:1537.63s | step_avg:7218.94ms
step:213/4768 | loss 0.173588 | train_time:1544.85s | step_avg:7218.92ms
step:214/4768 | loss 0.173345 | train_time:1552.06s | step_avg:7218.88ms
step:215/4768 | loss 0.175303 | train_time:1559.28s | step_avg:7218.90ms
step:216/4768 | loss 0.172252 | train_time:1566.49s | step_avg:7218.85ms
step:217/4768 | loss 0.173126 | train_time:1573.71s | step_avg:7218.85ms
step:218/4768 | loss 0.173118 | train_time:1580.93s | step_avg:7218.87ms
step:219/4768 | loss 0.171635 | train_time:1588.15s | step_avg:7218.88ms
step:220/4768 | loss 0.172159 | train_time:1595.36s | step_avg:7218.82ms
step:221/4768 | loss 0.170587 | train_time:1602.58s | step_avg:7218.82ms
step:222/4768 | loss 0.171880 | train_time:1609.79s | step_avg:7218.79ms
step:223/4768 | loss 0.172837 | train_time:1617.00s | step_avg:7218.75ms
step:224/4768 | loss 0.171264 | train_time:1624.20s | step_avg:7218.68ms
step:225/4768 | loss 0.169230 | train_time:1631.41s | step_avg:7218.63ms
step:226/4768 | loss 0.169666 | train_time:1638.64s | step_avg:7218.66ms
step:227/4768 | loss 0.171243 | train_time:1645.85s | step_avg:7218.64ms
step:228/4768 | loss 0.170100 | train_time:1653.06s | step_avg:7218.59ms
step:229/4768 | loss 0.171927 | train_time:1660.26s | step_avg:7218.51ms
step:230/4768 | loss 0.167979 | train_time:1667.46s | step_avg:7218.44ms
step:231/4768 | loss 0.169357 | train_time:1674.68s | step_avg:7218.43ms
step:232/4768 | loss 0.168934 | train_time:1681.88s | step_avg:7218.39ms
step:233/4768 | loss 0.169431 | train_time:1689.09s | step_avg:7218.33ms
step:234/4768 | loss 0.169003 | train_time:1696.30s | step_avg:7218.30ms
step:235/4768 | loss 0.171669 | train_time:1703.51s | step_avg:7218.27ms
step:236/4768 | loss 0.169035 | train_time:1710.73s | step_avg:7218.25ms
step:237/4768 | loss 0.171052 | train_time:1717.94s | step_avg:7218.22ms
step:238/4768 | loss 0.170724 | train_time:1725.15s | step_avg:7218.22ms
step:239/4768 | loss 0.167887 | train_time:1732.36s | step_avg:7218.17ms
step:240/4768 | loss 0.170172 | train_time:1739.58s | step_avg:7218.18ms
step:241/4768 | loss 0.172589 | train_time:1746.79s | step_avg:7218.13ms
step:242/4768 | loss 0.172538 | train_time:1754.00s | step_avg:7218.13ms
step:243/4768 | loss 0.169989 | train_time:1761.21s | step_avg:7218.07ms
step:244/4768 | loss 0.170253 | train_time:1768.43s | step_avg:7218.06ms
step:245/4768 | loss 0.169073 | train_time:1775.64s | step_avg:7218.04ms
step:246/4768 | loss 0.168929 | train_time:1782.85s | step_avg:7218.02ms
step:247/4768 | loss 0.168126 | train_time:1790.06s | step_avg:7217.98ms
step:248/4768 | loss 0.166945 | train_time:1797.27s | step_avg:7217.96ms
step:249/4768 | loss 0.168362 | train_time:1804.48s | step_avg:7217.93ms
step:250/4768 | loss 0.166333 | train_time:1811.70s | step_avg:7217.92ms
step:251/4768 | loss 0.168682 | train_time:1818.91s | step_avg:7217.88ms
step:252/4768 | loss 0.166368 | train_time:1826.13s | step_avg:7217.90ms
step:253/4768 | loss 0.166665 | train_time:1833.33s | step_avg:7217.85ms
step:254/4768 | loss 0.164713 | train_time:1840.55s | step_avg:7217.86ms
step:255/4768 | loss 0.166526 | train_time:1847.77s | step_avg:7217.83ms
step:256/4768 | val loss 5.331765
step:256/4768 | loss 0.165633 | train_time:1854.99s | step_avg:7217.84ms
step:257/4768 | loss 0.166575 | train_time:1862.20s | step_avg:7217.81ms
step:258/4768 | loss 0.165090 | train_time:1869.41s | step_avg:7217.79ms
step:259/4768 | loss 0.165676 | train_time:1876.62s | step_avg:7217.77ms
step:260/4768 | loss 0.165896 | train_time:1883.83s | step_avg:7217.75ms
step:261/4768 | loss 0.164049 | train_time:1891.04s | step_avg:7217.72ms
step:262/4768 | loss 0.166732 | train_time:1898.26s | step_avg:7217.73ms
step:263/4768 | loss 0.165640 | train_time:1905.48s | step_avg:7217.74ms
step:264/4768 | loss 0.164662 | train_time:1912.69s | step_avg:7217.71ms
step:265/4768 | loss 0.164001 | train_time:1919.91s | step_avg:7217.70ms
step:266/4768 | loss 0.163454 | train_time:1927.12s | step_avg:7217.68ms
step:267/4768 | loss 0.163937 | train_time:1934.34s | step_avg:7217.68ms
step:268/4768 | loss 0.162086 | train_time:1941.55s | step_avg:7217.65ms
step:269/4768 | loss 0.163791 | train_time:1948.76s | step_avg:7217.64ms
step:270/4768 | loss 0.163579 | train_time:1955.99s | step_avg:7217.67ms
step:271/4768 | loss 0.163818 | train_time:1963.21s | step_avg:7217.70ms
step:272/4768 | loss 0.161627 | train_time:1970.41s | step_avg:7217.64ms
step:273/4768 | loss 0.164702 | train_time:1977.62s | step_avg:7217.60ms
step:274/4768 | loss 0.162079 | train_time:1984.84s | step_avg:7217.60ms
step:275/4768 | loss 0.163803 | train_time:1992.06s | step_avg:7217.62ms
step:276/4768 | loss 0.163539 | train_time:1999.30s | step_avg:7217.68ms
step:277/4768 | loss 0.162372 | train_time:2006.52s | step_avg:7217.70ms
step:278/4768 | loss 0.161527 | train_time:2013.74s | step_avg:7217.69ms
step:279/4768 | loss 0.160908 | train_time:2020.95s | step_avg:7217.67ms
step:280/4768 | loss 0.163261 | train_time:2028.17s | step_avg:7217.69ms
step:281/4768 | loss 0.165687 | train_time:2035.40s | step_avg:7217.72ms
step:282/4768 | loss 0.161356 | train_time:2042.61s | step_avg:7217.71ms
step:283/4768 | loss 0.162760 | train_time:2049.82s | step_avg:7217.68ms
step:284/4768 | loss 0.161339 | train_time:2057.04s | step_avg:7217.67ms
step:285/4768 | loss 0.163832 | train_time:2064.25s | step_avg:7217.65ms
step:286/4768 | loss 0.161552 | train_time:2071.47s | step_avg:7217.67ms
step:287/4768 | loss 0.161025 | train_time:2078.70s | step_avg:7217.70ms
step:288/4768 | loss 0.160542 | train_time:2085.91s | step_avg:7217.69ms
step:289/4768 | loss 0.160914 | train_time:2093.12s | step_avg:7217.66ms
step:290/4768 | loss 0.162283 | train_time:2100.34s | step_avg:7217.66ms
step:291/4768 | loss 0.159507 | train_time:2107.55s | step_avg:7217.63ms
step:292/4768 | loss 0.161194 | train_time:2114.77s | step_avg:7217.63ms
step:293/4768 | loss 0.158490 | train_time:2121.99s | step_avg:7217.64ms
step:294/4768 | loss 0.162966 | train_time:2129.21s | step_avg:7217.67ms
step:295/4768 | loss 0.158948 | train_time:2136.42s | step_avg:7217.64ms
step:296/4768 | loss 0.160560 | train_time:2143.64s | step_avg:7217.63ms
step:297/4768 | loss 0.161071 | train_time:2150.85s | step_avg:7217.61ms
step:298/4768 | loss 0.158011 | train_time:2158.07s | step_avg:7217.64ms
step:299/4768 | loss 0.159632 | train_time:2165.30s | step_avg:7217.66ms
step:300/4768 | loss 0.157858 | train_time:2172.51s | step_avg:7217.64ms
step:301/4768 | loss 0.158604 | train_time:2179.72s | step_avg:7217.61ms
step:302/4768 | loss 0.157670 | train_time:2186.94s | step_avg:7217.61ms
step:303/4768 | loss 0.157948 | train_time:2194.15s | step_avg:7217.59ms
step:304/4768 | loss 0.159623 | train_time:2201.37s | step_avg:7217.59ms
step:305/4768 | loss 0.157405 | train_time:2208.59s | step_avg:7217.63ms
step:306/4768 | loss 0.157701 | train_time:2215.81s | step_avg:7217.62ms
step:307/4768 | loss 0.158075 | train_time:2223.02s | step_avg:7217.61ms
step:308/4768 | loss 0.155102 | train_time:2230.24s | step_avg:7217.59ms
step:309/4768 | loss 0.159401 | train_time:2237.45s | step_avg:7217.57ms
step:310/4768 | loss 0.158903 | train_time:2244.66s | step_avg:7217.55ms
step:311/4768 | loss 0.157681 | train_time:2251.87s | step_avg:7217.54ms
step:312/4768 | loss 0.156727 | train_time:2259.09s | step_avg:7217.54ms
step:313/4768 | loss 0.158085 | train_time:2266.32s | step_avg:7217.58ms
step:314/4768 | loss 0.156934 | train_time:2273.53s | step_avg:7217.57ms
step:315/4768 | loss 0.154953 | train_time:2280.75s | step_avg:7217.55ms
step:316/4768 | loss 0.155324 | train_time:2287.96s | step_avg:7217.54ms
step:317/4768 | loss 0.154479 | train_time:2295.17s | step_avg:7217.53ms
step:318/4768 | loss 0.154163 | train_time:2302.40s | step_avg:7217.55ms
step:319/4768 | loss 0.157207 | train_time:2309.62s | step_avg:7217.56ms
step:320/4768 | loss 0.154679 | train_time:2316.84s | step_avg:7217.57ms
step:321/4768 | loss 0.156806 | train_time:2324.05s | step_avg:7217.54ms
step:322/4768 | loss 0.155931 | train_time:2331.27s | step_avg:7217.55ms
step:323/4768 | loss 0.158380 | train_time:2338.50s | step_avg:7217.58ms
step:324/4768 | loss 0.155106 | train_time:2345.71s | step_avg:7217.58ms
step:325/4768 | loss 0.156467 | train_time:2352.92s | step_avg:7217.55ms
step:326/4768 | loss 0.156458 | train_time:2360.15s | step_avg:7217.58ms
step:327/4768 | loss 0.156615 | train_time:2367.37s | step_avg:7217.59ms
step:328/4768 | loss 0.154728 | train_time:2374.60s | step_avg:7217.62ms
step:329/4768 | loss 0.155530 | train_time:2381.81s | step_avg:7217.60ms
step:330/4768 | loss 0.153202 | train_time:2389.02s | step_avg:7217.59ms
step:331/4768 | loss 0.155123 | train_time:2396.24s | step_avg:7217.58ms
step:332/4768 | loss 0.153103 | train_time:2403.45s | step_avg:7217.56ms
step:333/4768 | loss 0.151181 | train_time:2410.66s | step_avg:7217.56ms
step:334/4768 | loss 0.153914 | train_time:2417.88s | step_avg:7217.56ms
step:335/4768 | loss 0.156112 | train_time:2425.10s | step_avg:7217.55ms
step:336/4768 | loss 0.159637 | train_time:2432.32s | step_avg:7217.56ms
step:337/4768 | loss 0.158946 | train_time:2439.54s | step_avg:7217.58ms
step:338/4768 | loss 0.154786 | train_time:2446.77s | step_avg:7217.60ms
step:339/4768 | loss 0.153024 | train_time:2454.00s | step_avg:7217.64ms
step:340/4768 | loss 0.152570 | train_time:2461.22s | step_avg:7217.66ms
step:341/4768 | loss 0.152183 | train_time:2468.44s | step_avg:7217.66ms
step:342/4768 | loss 0.154129 | train_time:2475.66s | step_avg:7217.67ms
step:343/4768 | loss 0.153885 | train_time:2482.87s | step_avg:7217.66ms
step:344/4768 | loss 0.152192 | train_time:2490.10s | step_avg:7217.67ms
step:345/4768 | loss 0.150983 | train_time:2497.31s | step_avg:7217.66ms
step:346/4768 | loss 0.151855 | train_time:2504.52s | step_avg:7217.63ms
step:347/4768 | loss 0.150647 | train_time:2511.74s | step_avg:7217.64ms
step:348/4768 | loss 0.151232 | train_time:2518.95s | step_avg:7217.62ms
step:349/4768 | loss 0.147669 | train_time:2526.17s | step_avg:7217.63ms
step:350/4768 | loss 0.148979 | train_time:2533.40s | step_avg:7217.65ms
